Recipe:
Pierre's Special Surprise
54.35,ounce,date
45.65,ounce,thyme

Recipe:
Pierre's Special Surprise
29.34,ounce,clam
0.03,ounce,yellow food coloring
1.61,ounce,white sugar
8.9,ounce,yogurt
1.06,ounce,garbanzo bean
24.89,ounce,giblet
2.48,ounce,edamame
4.73,ounce,yucca
14.14,ounce,marinara
2.72,ounce,portabella cap
0.73,ounce,garlic powder
9.37,ounce,pastry dough

Recipe:
Pierre's Special Surprise
0.0,ounce,fenugreek seeds
0.6,ounce,rosemary
0.71,ounce,linguica
0.06,ounce,tamarind
1.04,ounce,pineapple
0.28,ounce,polenta
1.7,ounce,chopped tomato
47.33,ounce,shallot
0.93,ounce,calabaza
2.22,ounce,rabbit
0.07,ounce,half-and-half
43.06,ounce,lamb
0.88,ounce,calamari
1.13,ounce,spinach

Recipe:
Pierre's Special Surprise
15.49,ounce,polenta
10.92,ounce,ditalini pasta
1.49,ounce,bamboo shoot
15.26,ounce,tortellini
18.55,ounce,white vinegar
13.92,ounce,lentil
1.15,ounce,chili paste
5.33,ounce,sesame seed
6.18,ounce,seltzer
10.0,ounce,white onion
1.71,ounce,zatar

Recipe:
Pierre's Special Surprise
27.92,ounce,radish
32.85,ounce,tomato soup
0.62,ounce,fungi
4.96,ounce,wheat berry
1.19,ounce,pistachio
1.44,ounce,lard
0.62,ounce,ranch dressing
5.88,ounce,green onion
21.83,ounce,pepper
2.69,ounce,apricot

Recipe:
Pierre's Special Surprise
100.0,ounce,black caviar

Recipe:
Pierre's Special Surprise
0.38,ounce,chile sauce
0.14,ounce,oats
0.16,ounce,mortadella
0.21,ounce,mirin
0.0,ounce,beef bouillon
0.05,ounce,maple syrup
95.25,ounce,turkey
0.01,ounce,masala
3.25,ounce,french bread
0.04,ounce,epazote
0.25,ounce,bok choy
0.15,ounce,pretzel rods
0.1,ounce,pesto

Recipe:
Pierre's Special Surprise
3.03,ounce,white bean
3.62,ounce,almond
93.35,ounce,white wine

Recipe:
Pierre's Special Surprise
0.81,ounce,roasted peanut
0.89,ounce,verjus
4.88,ounce,filet mignon
0.84,ounce,biscuit
13.02,ounce,green chile
0.67,ounce,mayonnaise
52.79,ounce,water
11.74,ounce,white onion
7.88,ounce,lettuce
6.49,ounce,linguica

Recipe:
Pierre's Special Surprise
54.39,ounce,rum
39.96,ounce,serrano pepper
4.39,ounce,cayenne pepper
1.26,ounce,fennel

Recipe:
Pierre's Special Surprise
6.88,ounce,mango
2.46,ounce,verjus
1.87,ounce,black caviar
17.61,ounce,green onion
0.4,ounce,oregano
0.09,ounce,celery salt
15.1,ounce,ackee
20.46,ounce,clam
5.15,ounce,merlot wine
12.36,ounce,enchilada sauce
16.11,ounce,tatsoi leaves
1.51,ounce,gelee bavaroise

Recipe:
Pierre's Special Surprise
0.05,ounce,adobo
2.53,ounce,hard cider
1.59,ounce,red seedless grape
2.12,ounce,red snapper
2.56,ounce,bok choy
21.37,ounce,french bread
0.71,ounce,rice vinegar
6.24,ounce,alligator meat
49.15,ounce,red seedless grape
13.68,ounce,bear

Recipe:
Pierre's Special Surprise
29.31,ounce,moose
25.09,ounce,black-eyed pea
22.11,ounce,polenta
3.66,ounce,tasso
